display_name,component_name,topic_name,url
ps_python_swap,Assign,"Variables and Operations",http://acos.cs.hut.fi/pitt/jsparsons/jsparsons-python/ps?example-id=ps_python_swap
py_f_to_c_conversion,Sub,"Variables and Operations",http://pawscomp2.sis.pitt.edu/pcex/index.html?lang=PYTHON&set=py_f_to_c_conversion
py_f_to_c_conversion,Int,"Variables and Operations",http://pawscomp2.sis.pitt.edu/pcex/index.html?lang=PYTHON&set=py_f_to_c_conversion
py_f_to_c_conversion,Add,"Variables and Operations",http://pawscomp2.sis.pitt.edu/pcex/index.html?lang=PYTHON&set=py_f_to_c_conversion
py_f_to_c_conversion,Call,"Variables and Operations",http://pawscomp2.sis.pitt.edu/pcex/index.html?lang=PYTHON&set=py_f_to_c_conversion
py_f_to_c_conversion,Str,"Variables and Operations",http://pawscomp2.sis.pitt.edu/pcex/index.html?lang=PYTHON&set=py_f_to_c_conversion
py_f_to_c_conversion,Div,"Variables and Operations",http://pawscomp2.sis.pitt.edu/pcex/index.html?lang=PYTHON&set=py_f_to_c_conversion
py_f_to_c_conversion,Assign,"Variables and Operations",http://pawscomp2.sis.pitt.edu/pcex/index.html?lang=PYTHON&set=py_f_to_c_conversion
py_f_to_c_conversion,Mult,"Variables and Operations",http://pawscomp2.sis.pitt.edu/pcex/index.html?lang=PYTHON&set=py_f_to_c_conversion
py_time_conversion,Int,"Variables and Operations",http://pawscomp2.sis.pitt.edu/pcex/index.html?lang=PYTHON&set=py_time_conversion
py_time_conversion,FloorDiv,"Variables and Operations",http://pawscomp2.sis.pitt.edu/pcex/index.html?lang=PYTHON&set=py_time_conversion
py_time_conversion,Call,"Variables and Operations",http://pawscomp2.sis.pitt.edu/pcex/index.html?lang=PYTHON&set=py_time_conversion
py_time_conversion,Str,"Variables and Operations",http://pawscomp2.sis.pitt.edu/pcex/index.html?lang=PYTHON&set=py_time_conversion
py_time_conversion,Assign,"Variables and Operations",http://pawscomp2.sis.pitt.edu/pcex/index.html?lang=PYTHON&set=py_time_conversion
py_time_conversion,Mod,"Variables and Operations",http://pawscomp2.sis.pitt.edu/pcex/index.html?lang=PYTHON&set=py_time_conversion
py_vending_machine,Sub,"Variables and Operations",http://pawscomp2.sis.pitt.edu/pcex/index.html?lang=PYTHON&set=py_vending_machine
py_vending_machine,Int,"Variables and Operations",http://pawscomp2.sis.pitt.edu/pcex/index.html?lang=PYTHON&set=py_vending_machine
py_vending_machine,FloorDiv,"Variables and Operations",http://pawscomp2.sis.pitt.edu/pcex/index.html?lang=PYTHON&set=py_vending_machine
py_vending_machine,Call,"Variables and Operations",http://pawscomp2.sis.pitt.edu/pcex/index.html?lang=PYTHON&set=py_vending_machine
py_vending_machine,Str,"Variables and Operations",http://pawscomp2.sis.pitt.edu/pcex/index.html?lang=PYTHON&set=py_vending_machine
py_vending_machine,Assign,"Variables and Operations",http://pawscomp2.sis.pitt.edu/pcex/index.html?lang=PYTHON&set=py_vending_machine
py_vending_machine,Mult,"Variables and Operations",http://pawscomp2.sis.pitt.edu/pcex/index.html?lang=PYTHON&set=py_vending_machine
py_vending_machine,Mod,"Variables and Operations",http://pawscomp2.sis.pitt.edu/pcex/index.html?lang=PYTHON&set=py_vending_machine
py_bmi_calculator,Int,"Variables and Operations",http://pawscomp2.sis.pitt.edu/pcex/index.html?lang=PYTHON&set=py_bmi_calculator
py_bmi_calculator,Pow,"Variables and Operations",http://pawscomp2.sis.pitt.edu/pcex/index.html?lang=PYTHON&set=py_bmi_calculator
py_bmi_calculator,Call,"Variables and Operations",http://pawscomp2.sis.pitt.edu/pcex/index.html?lang=PYTHON&set=py_bmi_calculator
py_bmi_calculator,Str,"Variables and Operations",http://pawscomp2.sis.pitt.edu/pcex/index.html?lang=PYTHON&set=py_bmi_calculator
py_bmi_calculator,Div,"Variables and Operations",http://pawscomp2.sis.pitt.edu/pcex/index.html?lang=PYTHON&set=py_bmi_calculator
py_bmi_calculator,Assign,"Variables and Operations",http://pawscomp2.sis.pitt.edu/pcex/index.html?lang=PYTHON&set=py_bmi_calculator
